,lin_error
0,0.047618985
1,0.0
2,0.0
3,0.009523749
4,0.057142794
5,0.0
6,0.0
7,0.028571367
8,0.0
9,0.0
10,0.46666664
11,0.0
12,0.0
13,0.3047619
14,0.0
15,0.009523749
16,0.009523749
17,0.057142794
18,0.038095176
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.019047558
25,0.07619041
26,0.009523749
27,0.0
28,0.028571367
29,0.0
30,0.038095176
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.08571422
37,0.0
38,0.49523807
39,0.0
40,0.16190475
41,0.0
42,0.0
43,0.12380952
44,0.0
45,0.019047558
46,0.057142794
47,0.0
48,0.0
49,0.2095238
50,0.0
51,0.0
52,0.0
53,0.0
54,0.009523749
55,0.0
56,0.6571429
57,0.038095176
58,0.19047618
59,0.0
60,0.028571367
61,0.0
62,0.019047558
63,0.26666665
64,0.038095176
65,0.5142857
66,0.0
67,0.0
68,0.0
69,0.07619041
70,0.1047619
71,0.0
72,0.0
73,0.0
74,0.12380952
75,0.038095176
76,0.46666664
77,0.12380952
78,0.0
79,0.0
80,0.0
81,0.4380952
82,0.0
83,0.0
84,0.5428571
85,0.0
86,0.0
87,0.2190476
88,0.0
89,0.1047619
90,0.0
91,0.028571367
92,0.0
93,0.019047558
94,0.038095176
95,0.0
96,0.0
97,0.0
98,0.08571422
99,0.0
100,0.42156863
101,0.07843137
102,0.009803891
103,0.15686274
104,0.029411733
105,0.39215684
106,0.0
107,0.07843137
108,0.1372549
109,0.0
110,0.0
111,0.0
112,0.0
113,0.39215684
114,0.07843137
115,0.009803891
116,0.6764706
117,0.0
118,0.0
119,0.3431372
120,0.65686274
121,0.0
122,0.0
123,0.009803891
124,0.0
125,0.0
126,0.12745094
127,0.0
128,0.15686274
129,0.009803891
130,0.20588231
131,0.0
132,0.039215624
133,0.08823526
134,0.19607842
135,0.009803891
136,0.029411733
137,0.039215624
138,0.0
139,0.0
140,0.0
141,0.0
142,0.06862742
143,0.17647058
144,0.009803891
145,0.0
146,0.0
147,0.0
148,0.71568626
149,0.1078431
150,0.64705884
151,0.009803891
152,0.0
153,0.20588231
154,0.0
155,0.058823466
156,0.0
157,0.009803891
158,0.039215624
159,0.18627447
160,0.16666663
161,0.0
162,0.029411733
163,0.009803891
164,0.0
165,0.07843137
166,0.0
167,0.0
168,0.38235295
169,0.019607782
170,0.0
171,0.0
172,0.0
173,0.019607782
174,0.1372549
175,0.009803891
176,0.0
177,0.0
178,0.09803921
179,0.06862742
180,0.0
181,0.5980392
182,0.09803921
183,0.0
184,0.3431372
185,0.009803891
186,0.0
187,0.0
188,0.1372549
189,0.009803891
190,0.0
191,0.06862742
192,0.5980392
193,0.372549
194,0.14705878
195,0.0
196,0.0
197,0.029411733
198,0.26470584
199,0.28431368
200,0.066037714
201,0.0
202,0.03773582
203,0.0
204,0.0
205,0.0
206,0.2264151
207,0.0
208,0.3018868
209,0.0
210,0.05660379
211,0.122641504
212,0.0
213,0.0
214,0.066037714
215,0.028301895
216,0.14150941
217,0.1792453
218,0.0
219,0.028301895
220,0.0
221,0.5566038
222,0.0
223,0.009433925
224,0.7924528
225,0.0
226,0.0
227,0.066037714
228,0.103773594
229,0.0
230,0.0
231,0.6132076
232,0.0
233,0.01886791
234,0.2735849
235,0.01886791
236,0.01886791
237,0.047169805
238,0.0
239,0.0
240,0.0
241,0.028301895
242,0.0
243,0.5283019
244,0.0
245,0.0
246,0.0
247,0.028301895
248,0.14150941
249,0.0
250,0.3490566
251,0.03773582
252,0.0
253,0.01886791
254,0.01886791
255,0.0
256,0.0
257,0.28301883
258,0.20754719
259,0.122641504
260,0.0
261,0.009433925
262,0.4811321
263,0.0
264,0.009433925
265,0.2735849
266,0.20754719
267,0.5943396
268,0.0
269,0.3584906
270,0.0
271,0.01886791
272,0.0
273,0.1981132
274,0.0
275,0.0
276,0.009433925
277,0.0
278,0.0
279,0.13207543
280,0.2264151
281,0.0
282,0.066037714
283,0.0
284,0.3962264
285,0.0
286,0.4056604
287,0.0
288,0.0
289,0.01886791
290,0.0
291,0.009433925
292,0.084905624
293,0.26415092
294,0.103773594
295,0.0
296,0.0
297,0.3207547
298,0.7169811
299,0.0
300,0.0
301,0.0
302,0.0
303,0.120000005
304,0.0
305,0.15000004
306,0.16000003
307,0.0
308,0.0
309,0.61
310,0.67
311,0.0
312,0.01000005
313,0.01000005
314,0.14000005
315,0.030000031
316,0.0
317,0.52
318,0.01000005
319,0.0
320,0.22000003
321,0.0
322,0.0
323,0.06999999
324,0.0
325,0.39
326,0.050000012
327,0.25
328,0.45
329,0.0
330,0.0
331,0.0
332,0.16000003
333,0.0
334,0.18
335,0.0
336,0.02000004
337,0.57000005
338,0.43
339,0.01000005
340,0.24000001
341,0.0
342,0.01000005
343,0.0
344,0.48000002
345,0.030000031
346,0.65
347,0.44
348,0.0
349,0.3
350,0.0
351,0.15000004
352,0.06999999
353,0.02000004
354,0.33000004
355,0.20000005
356,0.0
357,0.02000004
358,0.0
359,0.0
360,0.0
361,0.40000004
362,0.0
363,0.48000002
364,0.01000005
365,0.0
366,0.22000003
367,0.0
368,0.0
369,0.0
370,0.15000004
371,0.0
372,0.17000002
373,0.0
374,0.0
375,0.120000005
376,0.0
377,0.0
378,0.78
379,0.0
380,0.0
381,0.55
382,0.0
383,0.69
384,0.0
385,0.21000004
386,0.0
387,0.36
388,0.0
389,0.01000005
390,0.0
391,0.0
392,0.110000014
393,0.8
394,0.0
395,0.0
396,0.01000005
397,0.14000005
398,0.02000004
399,0.0
400,0.058823466
401,0.039215624
402,0.1372549
403,0.28431368
404,0.029411733
405,0.009803891
406,0.058823466
407,0.0
408,0.049019575
409,0.009803891
410,0.009803891
411,0.11764705
412,0.0
413,0.0
414,0.0
415,0.029411733
416,0.42156863
417,0.28431368
418,0.45098037
419,0.0
420,0.039215624
421,0.029411733
422,0.019607782
423,0.0
424,0.0
425,0.2745098
426,0.0
427,0.0
428,0.019607782
429,0.245098
430,0.0
431,0.0
432,0.372549
433,0.0
434,0.0
435,0.06862742
436,0.0
437,0.0
438,0.20588231
439,0.0
440,0.0
441,0.0
442,0.009803891
443,0.009803891
444,0.0
445,0.1078431
446,0.0
447,0.049019575
448,0.0
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.019607782
455,0.0
456,0.4705882
457,0.0
458,0.009803891
459,0.0
460,0.0
461,0.12745094
462,0.0
463,0.09803921
464,0.0
465,0.009803891
466,0.0
467,0.039215624
468,0.0
469,0.26470584
470,0.245098
471,0.0
472,0.22549015
473,0.0
474,0.0
475,0.15686274
476,0.0
477,0.0
478,0.0
479,0.0
480,0.019607782
481,0.07843137
482,0.3431372
483,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,0.019607782
489,0.049019575
490,0.06862742
491,0.11764705
492,0.0
493,0.009803891
494,0.029411733
495,0.0
496,0.0
497,0.0
498,0.0
499,0.0
500,0.16666663
501,0.0
502,0.0
503,0.0
504,0.21875
505,0.0
506,0.0
507,0.20833331
508,0.38541663
509,0.020833313
510,0.0
511,0.0
512,0.0
513,0.0
514,0.0
515,0.0
516,0.0
517,0.0
518,0.03125
519,0.29166663
520,0.010416627
521,0.0
522,0.0
523,0.0625
524,0.010416627
525,0.4270833
526,0.010416627
527,0.0
528,0.010416627
529,0.020833313
530,0.0
531,0.03125
532,0.0
533,0.020833313
534,0.0
535,0.0
536,0.0
537,0.052083313
538,0.0
539,0.010416627
540,0.0
541,0.09375
542,0.1875
543,0.0
544,0.07291663
545,0.0
546,0.22916663
547,0.0
548,0.375
549,0.23958331
550,0.3020833
551,0.010416627
552,0.125
553,0.0
554,0.38541663
555,0.0
556,0.15625
557,0.03125
558,0.28125
559,0.125
560,0.0
561,0.0
562,0.010416627
563,0.0
564,0.010416627
565,0.020833313
566,0.0
567,0.0
568,0.03125
569,0.0
570,0.0
571,0.0
572,0.5520833
573,0.08333331
574,0.010416627
575,0.041666627
576,0.0
577,0.0
578,0.29166663
579,0.6041666
580,0.0625
581,0.09375
582,0.020833313
583,0.0
584,0.0
585,0.0
586,0.0
587,0.0
588,0.0
589,0.0
590,0.0
591,0.23958331
592,0.03125
593,0.010416627
594,0.010416627
595,0.0
596,0.020833313
597,0.0
598,0.03125
599,0.0
600,0.0
601,0.30097085
602,0.26213592
603,0.058252394
604,0.1747573
605,0.0
606,0.4174757
607,0.34951454
608,0.03883493
609,0.0
610,0.2815534
611,0.04854369
612,0.0
613,0.0
614,0.0
615,0.0
616,0.0
617,0.0
618,0.0
619,0.03883493
620,0.0
621,0.2330097
622,0.0
623,0.03883493
624,0.0
625,0.5048543
626,0.0
627,0.0
628,0.029126227
629,0.21359223
630,0.0
631,0.20388347
632,0.07766992
633,0.0
634,0.0
635,0.0
636,0.0
637,0.0
638,0.06796116
639,0.009708703
640,0.009708703
641,0.0
642,0.29126215
643,0.0
644,0.0
645,0.0
646,0.0
647,0.6407767
648,0.106796086
649,0.0
650,0.0
651,0.0
652,0.0
653,0.0
654,0.0
655,0.19417477
656,0.009708703
657,0.0
658,0.0
659,0.106796086
660,0.009708703
661,0.13592231
662,0.61165047
663,0.0
664,0.0
665,0.0
666,0.0
667,0.14563107
668,0.12621361
669,0.13592231
670,0.25242716
671,0.0
672,0.009708703
673,0.0
674,0.009708703
675,0.32038832
676,0.0
677,0.0
678,0.019417465
679,0.0
680,0.0
681,0.0
682,0.0
683,0.058252394
684,0.0
685,0.009708703
686,0.21359223
687,0.33009708
688,0.0
689,0.03883493
690,0.009708703
691,0.07766992
692,0.0
693,0.029126227
694,0.49514562
695,0.0
696,0.0
697,0.0
698,0.029126227
699,0.019417465
700,5.9604645e-08
701,5.9604645e-08
702,0.032786965
703,5.9604645e-08
704,5.9604645e-08
705,0.47540987
706,0.22950822
707,0.09836072
708,5.9604645e-08
709,5.9604645e-08
710,0.13114756
711,5.9604645e-08
712,0.26229513
713,0.016393483
714,0.016393483
715,0.3770492
716,0.081967235
717,0.081967235
718,5.9604645e-08
719,0.18032789
720,5.9604645e-08
721,0.42622954
722,5.9604645e-08
723,0.36065578
724,0.016393483
725,0.14754105
726,5.9604645e-08
727,5.9604645e-08
728,0.032786965
729,5.9604645e-08
730,5.9604645e-08
731,5.9604645e-08
732,5.9604645e-08
733,0.13114756
734,0.06557381
735,0.13114756
736,0.09836072
737,5.9604645e-08
738,0.18032789
739,5.9604645e-08
740,0.5081967
741,0.09836072
742,5.9604645e-08
743,5.9604645e-08
744,0.016393483
745,5.9604645e-08
746,5.9604645e-08
747,0.04918039
748,5.9604645e-08
749,0.2459017
750,5.9604645e-08
751,5.9604645e-08
752,5.9604645e-08
753,5.9604645e-08
754,0.016393483
755,5.9604645e-08
756,0.016393483
757,5.9604645e-08
758,0.2459017
759,5.9604645e-08
760,5.9604645e-08
761,0.06557381
762,0.016393483
763,0.36065578
764,0.04918039
765,0.2459017
766,5.9604645e-08
767,5.9604645e-08
768,0.016393483
769,5.9604645e-08
770,0.032786965
771,0.016393483
772,5.9604645e-08
773,0.5409836
774,0.032786965
775,0.18032789
776,5.9604645e-08
777,0.032786965
778,5.9604645e-08
779,0.26229513
780,0.032786965
781,0.29508203
782,0.3770492
783,5.9604645e-08
784,0.6885246
785,0.04918039
786,0.22950822
787,0.14754105
788,5.9604645e-08
789,5.9604645e-08
790,0.4098361
791,5.9604645e-08
792,0.19672137
793,0.13114756
794,5.9604645e-08
795,5.9604645e-08
796,0.2131148
797,5.9604645e-08
798,5.9604645e-08
799,5.9604645e-08
